Date,Close,High,Low,Open,Volume
2020-12-01,340.2207031,341.7636998,339.2075363,339.8024388,74231400
2020-12-02,340.9364624,341.0944639,338.5290244,339.1053186,45927000
2020-12-03,340.8435059,342.2377769,339.7373819,340.8342016,62882000
2020-12-04,343.7808228,343.7808228,341.3361959,341.429153,50749900
2020-12-07,343.0744019,343.5670433,341.8009719,343.0093291,48944300
2020-12-08,344.0782166,344.6452065,341.7544315,341.8008959,42458900
2020-12-09,340.9922791,344.8962215,340.155722,344.73822,74098300
2020-12-10,340.8807373,341.9310645,338.7428377,339.6165833,57735400
2020-12-11,340.4810181,340.8900066,337.6553155,339.1797039,57698600
2020-12-14,338.956604,343.7342916,338.7799941,342.6560802,69216200
2020-12-15,343.5391235,343.5391235,340.1278226,341.5034853,63865300
2020-12-16,344.0782166,344.9984264,342.8698313,343.752881,58420500
2020-12-17,346.0023499,346.2068441,344.8962257,345.7235069,64119500
2020-12-18,344.6208496,346.4597995,342.6045369,346.2917805,136542300
2020-12-21,343.3885803,353.2834349,337.946426,340.6908486,96386700
2020-12-22,342.8098145,343.8273002,341.6803161,343.7152876,47949000
2020-12-23,343.1179504,345.0315658,342.791228,343.7807108,46201400
2020-12-24,344.4527283,344.4807314,343.0058515,343.5939176,26457900
2020-12-28,347.4118652,347.8039093,346.3850357,347.0104488,39000400
2020-12-29,346.7491455,349.1201836,346.1610508,348.9428208,53680500
2020-12-30,347.2438049,348.2799783,346.8517609,347.5705273,49455300
2020-12-31,349.0080872,349.7361975,346.5343809,347.0477814,78520700
2021-01-04,344.2567139,350.4736691,340.550812,350.3429688,110210800
2021-01-05,346.6277161,347.7198958,343.5659152,343.6126061,66426200
2021-01-06,348.7000427,351.9018879,344.5647498,345.1154973,107997700
2021-01-07,353.8808899,354.6276596,350.9030981,351.0804608,68766800
2021-01-08,355.8972168,356.1118981,352.0139516,355.2717751,71677200
2021-01-11,353.4981995,355.2624551,352.5927262,352.7140827,51034700
2021-01-12,353.5728149,354.5903007,351.3231336,353.684856,52547700
2021-01-13,354.5250244,355.5238226,352.7140778,353.4981946,45303600
2021-01-14,353.2834473,355.7758416,352.9474095,355.2717564,49989100
2021-01-15,350.7071228,352.4620346,348.8401699,351.6592586,107160000
2021-01-19,353.4607239,354.002156,351.687125,353.1713486,51233300
2021-01-20,358.3522949,359.192418,355.3651588,355.757203,61836100
2021-01-21,358.678894,359.3416827,357.7547617,358.9122631,47840100
2021-01-22,357.4094543,358.5762999,356.4386309,356.8213596,52860500
2021-01-25,358.8189392,359.1736362,353.2834036,358.1468352,70402000
2021-01-26,358.2589722,360.1819316,358.025603,359.7711996,42665300
2021-01-27,349.5028381,355.0196861,347.2625009,354.9263327,123351100
2021-01-28,352.508667,356.5226038,350.8844273,351.3231338,94198100
2021-01-29,345.4515991,351.6125487,343.7713246,350.6417253,126765100
2021-02-01,351.2018127,352.2379578,345.7409705,348.858778,75817600
2021-02-02,356.1678162,357.7267339,351.2857541,354.3942172,64450700
2021-02-03,356.4479065,358.1748432,355.1690486,356.9986541,52427100
2021-02-04,360.4992676,360.54593,356.5599959,357.4841284,47142600
2021-02-05,361.9180298,362.6274808,360.4524939,362.3754525,48669800
2021-02-08,364.5318909,364.5785533,362.5155784,363.3743607,38365200
2021-02-09,364.2890625,364.8865009,363.2809208,363.6916241,35551100
2021-02-10,364.1304321,366.1840914,361.7220757,366.0347318,59154400
2021-02-11,364.7185669,365.633384,362.2822071,365.2133083,42913300
2021-02-12,366.5201111,366.7627955,363.8410104,363.9157045,50593300
2021-02-16,366.2026978,367.9483222,365.4839313,367.7522716,50972400
2021-02-17,366.2867737,366.538802,363.43031,364.4478243,52290600
2021-02-18,364.7279053,365.474675,361.9461353,363.6730724,59712800
2021-02-19,364.0837402,366.2774151,363.6356614,365.9880398,83241000
2021-02-22,361.2833862,363.7010868,361.0126701,361.3113894,67414200
2021-02-23,361.7220154,363.0755672,354.9076507,359.0709465,107284100
2021-02-24,365.7080383,366.137458,359.6404417,360.6299244,72433900
2021-02-25,356.8960571,365.8107748,355.44918,364.4385632,146670500
2021-02-26,355.0570679,359.9298158,353.0687871,358.7816581,152701600
2021-03-01,363.6636658,364.914549,355.2530641,359.9391046,105348800
2021-03-02,360.8259277,364.1210978,360.3218426,363.8877288,79595300
2021-03-03,356.0465698,361.0966519,355.9438726,360.125857,119940200
2021-03-04,351.640564,358.4549301,347.141201,355.8598669,183433000
2021-03-05,358.1094971,359.1643298,347.8506022,355.1503648,152039600
2021-03-08,356.3265991,361.8901103,356.0465676,359.0710219,123149200
2021-03-09,361.414032,363.9717479,359.6777512,360.1818364,113633600
2021-03-10,363.6636658,365.3625994,362.3474893,363.766363,109899400
2021-03-11,367.3509521,369.3299175,365.6800215,366.1374443,86245000
2021-03-12,367.8456421,367.9856578,365.1759137,365.9880335,64653600
2021-03-15,370.0393372,370.3007094,365.9507065,368.0976905,73427200
2021-03-16,369.5726013,371.3648598,368.7978,370.6554372,73722500
2021-03-17,370.8328552,371.6356313,367.1362681,368.2844543,97959300
2021-03-18,365.4373474,370.3287546,364.7558994,368.2377766,115349100
2021-03-19,364.7611694,366.7185215,362.5790298,365.1357772,113624500
2021-03-22,367.6737976,369.0598779,365.2200836,365.2762734,73778600
